X,Y,medidor,circuito,anom_s_lec,anom_c_lec,comentario,lat y,lon x,icon_url
-100.19592,25.72738,j911dg,LAF04145,NA,NA,na,25.727380000000000,-100.195920000000001,./0.png
-100.19471,25.71598,j92p90,LAF04145,NA,NA,ok,25.715979999999998,-100.194710000000001,./0.png
-100.19281,25.72295,j931k3,LAF04145,NA,NA,na,25.722950000000001,-100.192809999999994,./0.png
-100.18586,25.72119,j946g6,LAF04145,NA,NA,na,25.721190000000000,-100.185860000000005,./0.png
-100.19447,25.71584,j94j41,LAF04145,NA,NA,ok,25.715840000000000,-100.194469999999995,./0.png
-100.19372,25.71512,j9796w,LAF04145,NA,C5-SinSello,ok,25.715119999999999,-100.193719999999999,./0.png
-100.20375,25.71999,j981lb,LAF04145,NA,C5-SinSello,na,25.719989999999999,-100.203749999999999,./0.png
-100.1861,25.72084,j994de,LAF04145,NA,NA,na,25.720839999999999,-100.186099999999996,./0.png
-100.1929,25.7281,j997ry,LAF04145,NA,NA,mt,25.728100000000001,-100.192899999999995,./0.png
-100.19551,25.71969,j99p23,LAF04145,NA,C5-SinSello,na,25.719690000000000,-100.195509999999999,./0.png
-100.20296,25.72029,j9l453,LAF04145,NA,NA,ok,25.720289999999999,-100.202960000000004,./0.png
-100.1886,25.72126,jp5865,LAF04145,NA,NA,ap,25.721260000000001,-100.188599999999994,./0.png
-100.19635,25.72573,k066x7,LAF04145,NA,NA,na,25.725729999999999,-100.196349999999995,./0.png
-100.20842,25.72011,k06w64,LAF04145,NA,C5-SinSello,na,25.720109999999998,-100.208420000000004,./0.png
-100.19024,25.72278,k06w72,LAF04145,NA,NA,na,25.722780000000000,-100.190240000000003,./0.png
-100.18807,25.72169,k06y56,LAF04145,NA,NA,na,25.721689999999999,-100.188069999999996,./0.png
-100.19663,25.73016,k075x2,LAF04145,NA,NA,na,25.730160000000001,-100.196629999999999,./0.png
-100.19585,25.72862,k087x0,LAF04145,NA,NA,na,25.728619999999999,-100.195849999999993,./0.png
-100.19371,25.72765,k09t89,LAF04145,NA,C5-SinSello,na,25.727650000000001,-100.193709999999996,./0.png
-100.18734,25.72071,k0u595,LAF04145,NA,NA,na,25.720710000000000,-100.187340000000006,./0.png
-100.19649,25.73037,k111x3,LAF04145,NA,NA,na,25.730370000000001,-100.196489999999997,./0.png
-100.18921,25.72212,k11y86,LAF04145,NA,NA,na,25.722120000000000,-100.189210000000003,./0.png
-100.1894,25.72218,k13y43,LAF04145,NA,NA,na,25.722180000000002,-100.189400000000006,./0.png
-100.19023,25.72127,k24v05,LAF04145,NA,NA,na,25.721270000000001,-100.190230000000000,./0.png
-100.19446,25.71784,k2l015,LAF04145,NA,NA,ok,25.717839999999999,-100.194460000000007,./0.png
-100.19546,25.72009,k2x544,LAF04145,NA,NA,ok,25.720089999999999,-100.195459999999997,./0.png
-100.19547,25.72833,k333x2,LAF04145,NA,NA,na,25.728330000000000,-100.195470000000000,./0.png
-100.20284,25.7187,k360x5,LAF04145,NA,NA,ok,25.718699999999998,-100.202839999999995,./0.png
-100.19319,25.72141,k36x62,LAF04145,NA,NA,na,25.721409999999999,-100.193190000000001,./0.png
-100.19042,25.72277,k38c81,LAF04145,NA,NA,na,25.722770000000001,-100.190420000000003,./0.png
-100.1942,25.71592,k39c21,LAF04145,NA,NA,ok,25.715920000000001,-100.194199999999995,./0.png
-100.19376,25.71547,k3l049,LAF04145,NA,C5-SinSello,ok,25.715470000000000,-100.193759999999997,./0.png
-100.1946,25.71603,k40c02,LAF04145,NA,C5-SinSello,ok,25.716030000000000,-100.194599999999994,./0.png
-100.1895,25.72224,k40c09,LAF04145,NA,NA,na,25.722239999999999,-100.189499999999995,./0.png
-100.19374,25.71598,k42c41,LAF04145,NA,C5-SinSello,checar medidor,25.715979999999998,-100.193740000000005,./0.png
-100.1882,25.72159,k44c29,LAF04145,NA,NA,na,25.721589999999999,-100.188199999999995,./0.png
-100.20714,25.72012,k46v14,LAF04145,NA,NA,ok,25.720120000000001,-100.207139999999995,./0.png
-100.19039,25.72232,k5l137,LAF04145,NA,NA,na,25.722320000000000,-100.190389999999994,./0.png
-100.18818,25.72158,k5l473,LAF04145,NA,NA,na,25.721579999999999,-100.188180000000003,./0.png
-100.19557,25.7156,k5l524,LAF04145,NA,C5-SinSello,oi,25.715599999999998,-100.195570000000004,./0.png
-100.19368,25.7162,k5l670,LAF04145,NA,NA,ok,25.716200000000001,-100.193680000000001,./0.png
